zip,city,name,alias,state,locale,search,branches,men_only,operating,ownership,region_id,accreditor,school_url,state_fips,women_only,main_campus,online_only,carnegie_basic,faculty_salary,ownership_peps,accreditor_code,ft_faculty_rate,carnegie_undergrad,degree_urbanization,under_investigation,price_calculator_url,carnegie_size_setting,minority_serving,religious_affiliation,open_admissions_policy,title_iv,degrees_awarded,tuition_revenue_per_fte,instructional_expenditure_per_fte,institutional_characteristics
94105,San Francisco,Academy of Art University,,CA,11,Academy of Art University,1,0,1,3,8,Western Association of Schools and Colleges Senior Colleges and University Commission,www.academyart.edu,6,0,1,0,18,8492,3,WASCSR,0.2147,5,,0,https://npc.collegeboard.org/student/app/academyart,12,"{""annh"":0,""nant"":0,""aanipi"":0,""tribal"":0,""hispanic"":0,""historically_black"":0,""predominantly_black"":0}",,1,"{""approval_date"":""12/28/1983"",""eligibility_type"":1}","{""highest"":4,""predominant"":3,""predominant_recoded"":3}",31908,16263,"{""level"":1}"
91103,Pasadena,Art Center College of Design,,CA,12,Art Center College of Design,1,0,1,2,8,Western Association of Schools and Colleges Senior Colleges and University Commission,www.artcenter.edu,6,0,1,0,30,7776,2,WASCSR,0.2643,13,,0,https://tcc.ruffalonl.com/Art-Center-College-of-Design/Freshman-Calculator,9,"{""annh"":0,""nant"":0,""aanipi"":0,""tribal"":0,""hispanic"":0,""historically_black"":0,""predominantly_black"":0}",,2,"{""approval_date"":""12/19/1965"",""eligibility_type"":1}","{""highest"":4,""predominant"":3,""predominant_recoded"":3}",34648,21748,"{""level"":1}"
91702-7000,Azusa,Azusa Pacific University,,CA,21,Azusa Pacific University,1,0,1,2,8,Western Association of Schools and Colleges Senior Colleges and University Commission,www.apu.edu,6,0,1,0,16,9160,2,WASCSR,0.4042,13,,0,https://www.apu.edu/undergraduate-admissions/financialaid/calculator/,14,"{""annh"":0,""nant"":0,""aanipi"":1,""tribal"":0,""hispanic"":1,""historically_black"":0,""predominantly_black"":0}",88,2,"{""approval_date"":""12/1/1965"",""eligibility_type"":1}","{""highest"":4,""predominant"":3,""predominant_recoded"":3}",19919,11405,"{""level"":1}"
92801,Anaheim,Bethesda University,Bethesda University,CA,11,Bethesda University Bethesda University,1,0,1,2,8,Transnational Association of Christian Colleges and Schools,www.buc.edu,6,0,1,0,24,,2,TRACS,,10,,0,www.buc.edu,6,"{""annh"":0,""nant"":0,""aanipi"":0,""tribal"":0,""hispanic"":0,""historically_black"":0,""predominantly_black"":0}",99,1,"{""approval_date"":""2/1/1999"",""eligibility_type"":1}","{""highest"":4,""predominant"":3,""predominant_recoded"":3}",6413,968,"{""level"":1}"
90639-0001,La Mirada,Biola University,,CA,21,Biola University,1,0,1,2,8,Western Association of Schools and Colleges Senior Colleges and University Commission,https://www.biola.edu,6,0,1,0,17,9348,2,WASCSR,1,13,,0,https://www.biola.edu/undergrad/financial-aid/net-price-calculator#net-price,14,"{""annh"":0,""nant"":0,""aanipi"":0,""tribal"":0,""hispanic"":0,""historically_black"":0,""predominantly_black"":0}",88,2,"{""approval_date"":""12/1/1965"",""eligibility_type"":1}","{""highest"":4,""predominant"":3,""predominant_recoded"":3}",22560,12059,"{""level"":1}"
94103,San Francisco,California Institute of Integral Studies,CIIS,CA,11,California Institute of Integral Studies CIIS,1,0,1,2,8,Western Association of Schools and Colleges Senior Colleges and University Commission,www.ciis.edu,6,0,1,0,17,8314,2,WASCSR,0.2906,11,,0,https://my.ciis.edu/ICS/Financial_Aid/Forms_and_Resources.jnz?portlet=Budget_Calculator&_ga=2.122314440.273392424.1504792767-1278539770.1487619126,9,"{""annh"":0,""nant"":0,""aanipi"":0,""tribal"":0,""hispanic"":0,""historically_black"":0,""predominantly_black"":0}",,,"{""approval_date"":""6/1/1974"",""eligibility_type"":1}","{""highest"":4,""predominant"":3,""predominant_recoded"":3}",25180,12564,"{""level"":1}"
92504-3297,Riverside,California Baptist University,CBU,CA,11,California Baptist University CBU,1,0,1,2,8,Western Association of Schools and Colleges Senior Colleges and University Commission,www.calbaptist.edu,6,0,1,0,18,9674,2,WASCSR,0.3274,13,,0,https://calbaptist.studentaidcalculator.com/welcome.aspx,13,"{""annh"":0,""nant"":0,""aanipi"":0,""tribal"":0,""hispanic"":1,""historically_black"":0,""predominantly_black"":0}",75,2,"{""approval_date"":""1/1/1975"",""eligibility_type"":1}","{""highest"":4,""predominant"":3,""predominant_recoded"":3}",18673,9058,"{""level"":1}"
94107-2247,San Francisco,California College of the Arts,,CA,11,California College of the Arts,1,0,1,2,8,Western Association of Schools and Colleges Senior Colleges and University Commission,www.cca.edu,6,0,1,0,30,9662,2,WASCSR,0.2121,13,,0,www.cca.edu/admissions/financialaid/calculator,10,"{""annh"":0,""nant"":0,""aanipi"":0,""tribal"":0,""hispanic"":0,""historically_black"":0,""predominantly_black"":0}",,2,"{""approval_date"":""12/1/1965"",""eligibility_type"":1}","{""highest"":4,""predominant"":3,""predominant_recoded"":3}",30596,17630,"{""level"":1}"
91125,Pasadena,California Institute of Technology,Caltech,CA,12,California Institute of Technology Caltech,1,0,1,2,8,Western Association of Schools and Colleges Senior Colleges and University Commission,www.caltech.edu,6,0,1,0,15,19993,2,WASCSR,0.9195,14,,0,www.finaid.caltech.edu/npc,11,"{""annh"":0,""nant"":0,""aanipi"":0,""tribal"":0,""hispanic"":0,""historically_black"":0,""predominantly_black"":0}",,2,"{""approval_date"":""1/1/1966"",""eligibility_type"":1}","{""highest"":4,""predominant"":3,""predominant_recoded"":3}",18877,104953,"{""level"":1}"
91360-2787,Thousand Oaks,California Lutheran University,,CA,12,California Lutheran University,1,0,1,2,8,Western Association of Schools and Colleges Senior Colleges and University Commission,www.callutheran.edu/,6,0,1,0,18,9974,2,WASCSR,1,13,,0,https://www.callutheran.edu/financial-aid/tuition-fees/net-price-calculator.html,13,"{""annh"":0,""nant"":0,""aanipi"":0,""tribal"":0,""hispanic"":1,""historically_black"":0,""predominantly_black"":0}",39,2,"{""approval_date"":""12/1/1965"",""eligibility_type"":1}","{""highest"":4,""predominant"":3,""predominant_recoded"":3}",19499,10207,"{""level"":1}"
